Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'Application' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\App.xaml.cs	10	Active
Error	CS0246	The type or namespace name 'StartupEventArgs' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\App.xaml.cs	14	Active
Error	CS0234	The type or namespace name 'Threading' does not exist in the namespace 'System.Windows' (are you missing an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\App.xaml.cs	35	Active
Error	CS0246	The type or namespace name 'ExitEventArgs' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\App.xaml.cs	70	Active
Error	CS0234	The type or namespace name 'Controls' does not exist in the namespace 'System.Windows' (are you missing an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\MainWindow.xaml.cs	2	Active
Error	CS0246	The type or namespace name 'Window' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\MainWindow.xaml.cs	11	Active
Error	CS0246	The type or namespace name 'SelectionChangedEventArgs' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\MainWindow.xaml.cs	67	Active
Error	CS0234	The type or namespace name 'Controls' does not exist in the namespace 'System.Windows' (are you missing an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\Views\DashboardView.xaml.cs	1	Active
Error	CS0234	The type or namespace name 'Data' does not exist in the namespace 'System.Windows' (are you missing an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\Views\DashboardView.xaml.cs	2	Active
Error	CS0246	The type or namespace name 'LiveCharts' could not be found (are you missing a using directive or an assembly reference?)	NetworkSoftwareManager	C:\Users\PRASANTH\Documents\GitHub\NetworkSoftwareManager\NetworkSoftwareManager\Views\DashboardView.xaml.cs	3	Active
